import time: self [us] | cumulative | imported package
import time:       110 |        110 |                 nt
import time:       109 |        109 |                 nt
import time:       170 |       1004 |               ntpath
import time:       255 |        255 |                 urllib
import time:      1750 |       1750 |                 ipaddress
import time:      1372 |       3377 |               urllib.parse
import time:       990 |       5370 |             pathlib
import time:        61 |         61 |             gc
import time:       705 |        705 |             tempfile
import time:       281 |        281 |               concurrent
import time:        51 |         51 |                     _string
import time:       920 |        970 |                   string
import time:        46 |         46 |                   atexit
import time:      2359 |       3375 |                 logging
import time:       812 |       4186 |               concurrent.futures._base
import time:       459 |       4925 |             concurrent.futures
import time:       675 |        675 |                 _csv
import time:       627 |       1301 |               csv
import time:       328 |        328 |               email
import time:       335 |        335 |                   zipfile._path.glob
import time:       652 |        986 |                 zipfile._path
import time:      2534 |       3519 |               zipfile
import time:       343 |        343 |                   quopri
import time:      1027 |       1027 |                       _socket
import time:       687 |        687 |                       array
import time:      2301 |       4015 |                     socket
import time:      1314 |       1314 |                       calendar
import time:       461 |       1775 |                     email._parseaddr
import time:       592 |        592 |                       email.base64mime
import time:       542 |        542 |                       email.quoprimime
import time:       786 |        786 |                       email.errors
import time:       427 |        427 |                       email.encoders
import time:       548 |       2892 |                     email.charset
import time:       664 |       9343 |                   email.utils
import time:       874 |        874 |                     email.header
import time:       488 |       1361 |                   email._policybase
import time:       423 |        423 |                   email._encoded_words
import time:       263 |        263 |                   email.iterators
import time:       865 |      12595 |                 email.message
import time:      1136 |       1136 |                   importlib.metadata._functools
import time:       327 |       1462 |                 importlib.metadata._text
import time:       475 |      14530 |               importlib.metadata._adapters
import time:       689 |        689 |               importlib.metadata._meta
import time:       433 |        433 |               importlib.metadata._collections
import time:       260 |        260 |               importlib.metadata._itertools
import time:       593 |        593 |                     importlib.resources.abc
import time:       484 |        484 |                     importlib.resources._adapters
import time:       604 |       1680 |                   importlib.resources._common
import time:       468 |        468 |                   importlib.resources._legacy
import time:       304 |       2452 |                 importlib.resources
import time:       726 |       3177 |               importlib.abc
import time:      1609 |      25843 |             importlib.metadata
import time:       125 |        125 |               numpy._core.tests
import time:       458 |        583 |             numpy._core.tests._natype
import time:       696 |        696 |                   _json
import time:       746 |       1442 |                 json.scanner
import time:       892 |       2334 |               json.decoder
import time:       802 |        802 |               json.encoder
import time:       411 |       3545 |             json
import time:      2910 |      43939 |           numpy.testing._private.utils
import time:       261 |        261 |           numpy.testing._private.extbuild
import time:       179 |        179 |           numpy.testing.overrides
import time:       321 |      56957 |         numpy.testing
import time:     45931 |      45931 |           numpy.ma.core
import time:      2100 |       2100 |           numpy.ma.extras
import time:       444 |      48473 |         numpy.ma
import time:       755 |        755 |               fileinput
import time:       997 |        997 |                     81d243bd2c585b0f4821__mypyc
import time:      1774 |       1774 |                     charset_normalizer.constant
import time:       902 |        902 |                       unicodedata
import time:       859 |        859 |                       _multibytecodec
import time:       625 |       2386 |                     charset_normalizer.utils
import time:       549 |        549 |                     charset_normalizer.models
import time:      1167 |       6870 |                   charset_normalizer.cd
import time:       743 |        743 |                   _codecs_tw
import time:      1565 |       1565 |                   _codecs_hk
import time:       780 |        780 |                   _codecs_jp
import time:       886 |        886 |                   _codecs_kr
import time:       898 |        898 |                   _codecs_cn
import time:       851 |        851 |                   _codecs_iso2022
import time:     54113 |      66702 |                 charset_normalizer.api
import time:       267 |        267 |                 charset_normalizer.legacy
import time:       172 |        172 |                 charset_normalizer.version
import time:      1735 |      68874 |               charset_normalizer
import time:       160 |        160 |               numpy.f2py.__version__
import time:       414 |        414 |                 numpy.f2py.cfuncs
import time:       905 |       1319 |               numpy.f2py.auxfuncs
import time:      1495 |       1495 |               numpy.f2py.symbolic
import time:     15559 |      88159 |             numpy.f2py.crackfortran
import time:      2332 |       2332 |                 numpy.f2py.cb_rules
import time:       234 |        234 |                 numpy.f2py._isocbind
import time:       826 |       3391 |               numpy.f2py.capi_maps
import time:       234 |        234 |                 numpy.f2py.func2subr
import time:       263 |        497 |               numpy.f2py.common_rules
import time:       189 |        189 |               numpy.f2py.use_rules
import time:       281 |        281 |               numpy.f2py.f90mod_rules
import time:      7763 |      12119 |             numpy.f2py.rules
import time:       213 |        213 |             numpy.f2py._backends
import time:      1693 |     102182 |           numpy.f2py.f2py2e
import time:       195 |        195 |           numpy.f2py.diagnose
import time:       698 |     103074 |         numpy.f2py
import time:       184 |        184 |         numpy.rec
import time:       695 |        695 |             numpy.fft._pocketfft_umath
import time:      1207 |       1901 |           numpy.fft._pocketfft
import time:       497 |        497 |           numpy.fft._helper
import time:       176 |        176 |           numpy.fft.helper
import time:       315 |       2888 |         numpy.fft
import time:      1065 |       1065 |           scipy._lib.array_api_compat.common._aliases
import time:       213 |        213 |           scipy._lib.array_api_compat.numpy._typing
import time:      1872 |       3149 |         scipy._lib.array_api_compat.numpy._aliases
import time:       311 |        311 |         scipy._lib.array_api_compat.numpy._info
import time:      1005 |       1005 |           scipy._lib.array_api_compat.common._linalg
import time:       780 |       1785 |         scipy._lib.array_api_compat.numpy.linalg
import time:       256 |        256 |           scipy._lib.array_api_compat.common._fft
import time:       893 |       1148 |         scipy._lib.array_api_compat.numpy.fft
import time:      1319 |     248585 |       scipy._lib.array_api_compat.numpy
import time:       187 |        187 |             scipy._lib.array_api_extra._lib
import time:       192 |        192 |                 scipy._lib.array_api_extra._lib._utils
import time:       265 |        265 |                       scipy._lib._sparse
import time:       529 |        794 |                     scipy._lib._array_api_override
import time:       193 |        987 |                   scipy._lib._array_api_compat_vendor
import time:       289 |       1275 |                 scipy._lib.array_api_extra._lib._utils._compat
import time:       227 |        227 |                   scipy._lib.array_api_extra._lib._utils._typing
import time:       472 |        698 |                 scipy._lib.array_api_extra._lib._utils._helpers
import time:       727 |       2889 |               scipy._lib.array_api_extra._lib._at
import time:      1513 |       4402 |             scipy._lib.array_api_extra._lib._funcs
import time:       469 |       5058 |           scipy._lib.array_api_extra._delegation
